dataHora,ordem,linha,latitude,longitude,velocidade
09-24-2016 22:17:22,B25564,249,"-22.90284","-43.26799",0
09-24-2016 22:17:23,D86700,2804,"-22.894564","-43.533089",0
09-24-2016 22:17:25,A02,,"-22.910536","-43.269962",0
09-24-2016 22:17:25,C41089,,"-22.87505","-43.240959",0.56
09-24-2016 22:17:26,D86211,918,"-22.893566","-43.531742",0.19
09-24-2016 22:17:27,A50043,448,"-22.929159","-43.253994",0
09-24-2016 22:17:27,B32764,727,"-22.817579","-43.39344",0
09-24-2016 22:17:27,D53607,369,"-22.883921","-43.49482",0
09-24-2016 22:17:28,C50032,302,"-23.009773","-43.30249",59.63
09-24-2016 22:17:29,B11521,908,"-22.866699","-43.356247",0.56
09-24-2016 22:17:30,C27124,774,"-22.8167","-43.30196",0
09-24-2016 22:17:31,A41052,460,"-22.874861","-43.24194",0
09-24-2016 22:17:31,A71542,217,"-22.930071","-43.253883",0
09-24-2016 22:17:31,B82672,265,"-22.858639","-43.3708",0
09-24-2016 22:17:31,C82579,363,"-22.910578","-43.218224",58.52
09-24-2016 22:17:32,A41147,110,"-22.874929","-43.241409",0
09-24-2016 22:17:32,B28520,,"-22.81521","-43.188438",0
09-24-2016 22:17:33,D87171,,"-22.91906","-43.60791",0
09-24-2016 22:17:34,A48081,426,"-22.910572","-43.269485",0
09-24-2016 22:17:36,C51640,,"-22.877571","-43.368305",0
09-24-2016 22:17:38,B71129,455,"-22.903162","-43.313099",0
09-24-2016 22:17:38,C41427,,"-22.874594","-43.241047",0
09-24-2016 22:17:38,D87502,804,"-22.918501","-43.60743",0
09-24-2016 22:17:39,A41840,,"-22.870195","-43.249039",0
09-24-2016 22:17:39,B11558,773,"-22.811302","-43.372421",0
09-24-2016 22:17:39,B11712,669,"-22.820923","-43.392494",29.82
09-24-2016 22:17:41,A50200,226,"-22.929001","-43.253651",0.19
09-24-2016 22:17:41,C20031,880,"-23.000908","-43.385921",0
09-24-2016 22:17:42,B25531,606,"-22.9027","-43.297722",0
09-24-2016 22:17:42,C41892,SE2016,"-22.87077","-43.249485",0
09-24-2016 22:17:42,D87024,,"-22.91704","-43.608429",0
09-24-2016 22:17:43,A48044,117,"-22.910654","-43.269722",0
09-24-2016 22:17:43,B71006,455,"-22.90237","-43.314938",0
09-24-2016 22:17:43,C41305,309,"-22.875444","-43.241356",0
09-24-2016 22:17:44,C41889,SE2016,"-22.87072","-43.24926",0
09-24-2016 22:17:45,A41132,460,"-22.875719","-43.241341",0
09-24-2016 22:17:45,A41163,110,"-22.87529","-43.240551",0
09-24-2016 22:17:46,B82572,711,"-22.857594","-43.371037",2.96
09-24-2016 22:17:47,A71601,,"-22.929487","-43.25486",0
09-24-2016 22:17:47,C20078,390,"-22.957478","-43.345921",0
09-24-2016 22:17:48,A41155,,"-22.875233","-43.241005",0
09-24-2016 22:17:48,B28729,2344,"-22.81546","-43.188019",0
09-24-2016 22:17:48,B55141,,"-22.905729","-43.260632",0
09-24-2016 22:17:48,C20254,880,"-23.001717","-43.367474",0.37
09-24-2016 22:17:49,B41809,2145,"-22.870676","-43.249195",0
09-24-2016 22:17:50,A48122,202,"-22.910555","-43.269451",0.19
09-24-2016 22:17:50,B11616,378,"-22.861687","-43.370003",0.19
09-24-2016 22:17:50,B58098,,"-22.83672","-43.286011",23
09-24-2016 22:17:50,C20021,600,"-22.957199","-43.345844",0
09-24-2016 22:17:50,C41405,109,"-22.875271","-43.241982",0
09-24-2016 22:17:51,A48004,415,"-22.910641","-43.269836",0
09-24-2016 22:17:51,C20258,900,"-22.958069","-43.346195",0.19
09-24-2016 22:17:51,C41428,109,"-22.874352","-43.24165",0.19
09-24-2016 22:17:51,D86706,2334,"-22.893801","-43.532459",0
09-24-2016 22:17:51,D87417,,"-22.9175","-43.607632",0
09-24-2016 22:17:53,B42511,457,"-22.8857","-43.300598",0
09-24-2016 22:17:53,D86696,2332,"-22.894112","-43.533237",0
09-24-2016 22:17:54,B11585,908,"-22.847319","-43.37904",0
09-24-2016 22:17:55,A41273,309,"-22.875841","-43.241467",0
09-24-2016 22:17:55,A50139,603,"-22.928961","-43.25235",16.11
09-24-2016 22:17:55,B10545,627,"-22.86825","-43.257172",0
09-24-2016 22:17:55,B11538,778,"-22.804502","-43.362217",0
09-24-2016 22:17:56,B11596,362,"-22.865803","-43.356956",0
09-24-2016 22:17:56,B32666,385,"-22.81661","-43.39436",0
09-24-2016 22:17:56,C82631,652,"-22.859821","-43.37077",0
09-24-2016 22:17:56,D86179,851,"-22.901171","-43.553967",0.56
09-24-2016 22:17:57,A41238,,"-22.875648","-43.241909",0
09-24-2016 22:17:57,B32507,,"-22.81584","-43.394699",0
09-24-2016 22:17:57,B71033,455,"-22.9025","-43.314754",0
09-24-2016 22:17:57,B71109,247,"-22.902611","-43.314968",0
09-24-2016 22:17:58,A48101,415,"-22.910658","-43.270535",0
09-24-2016 22:17:58,B11698,669,"-22.811714","-43.37294",0.74
09-24-2016 22:17:58,B82663,711,"-22.859051","-43.370918",0
09-24-2016 22:17:59,A41818,,"-22.870161","-43.249275",0
09-24-2016 22:17:59,A71588,409,"-22.922131","-43.229576",2.78
09-24-2016 22:18:00,B10408,2342,"-22.814581","-43.187481",0
09-24-2016 22:18:00,B27147,639,"-22.816839","-43.301311",0
09-24-2016 22:18:00,B71064,239,"-22.913811","-43.203987",36.11
09-24-2016 22:18:00,D17063,813,"-22.91642","-43.60762",0
09-24-2016 22:18:00,D53511,369,"-22.87487","-43.462608",0
09-24-2016 22:18:01,A71586,217,"-22.930157","-43.254005",0
09-24-2016 22:18:01,B11595,908,"-22.866686","-43.355671",0
09-24-2016 22:18:01,C41035,315,"-22.874796","-43.241211",2.22
09-24-2016 22:18:01,C41185,309,"-22.875019","-43.242363",0
09-24-2016 22:18:01,D87005,771,"-22.91856","-43.608089",0
09-24-2016 22:18:02,A41016,460,"-22.875259","-43.242062",0
09-24-2016 22:18:02,A72129,,"-22.88995","-43.292347",0
09-24-2016 22:18:02,C41399,525,"-22.875168","-43.240971",0
09-24-2016 22:18:02,C50148,345,"-22.929193","-43.2537",0.37
09-24-2016 22:18:02,D86325,864,"-22.892181","-43.528553",57.41
09-24-2016 22:18:02,D87273,804,"-22.91847","-43.6073",0
09-24-2016 22:18:03,B19586,665,"-22.80986","-43.342529",0
09-24-2016 22:18:03,B32506,,"-22.81698","-43.39402",0
09-24-2016 22:18:03,B82582,711,"-22.858753","-43.370983",0
09-24-2016 22:18:03,C20037,600,"-22.915237","-43.386738",0
09-24-2016 22:18:03,C20052,601,"-22.95698","-43.345955",0
09-24-2016 22:18:03,D87320,822,"-22.918659","-43.607262",0
09-24-2016 22:18:04,A41181,106,"-22.87583","-43.241806",0
09-24-2016 22:18:04,A50131,603,"-22.943453","-43.255066",26.67
09-24-2016 22:18:04,B27014,SVA905,"-22.81695","-43.302109",0
09-24-2016 22:18:04,B71005,247,"-22.903128","-43.313553",0
09-24-2016 22:18:05,A41182,106,"-22.875866","-43.241783",0
09-24-2016 22:18:05,B11586,378,"-22.866343","-43.356853",0
09-24-2016 22:18:06,B28575,696,"-22.87364","-43.258129",0
09-24-2016 22:18:06,B71024,455,"-22.90299","-43.314419",0
09-24-2016 22:18:06,D87826,,"-22.91736","-43.6073",0
09-24-2016 22:18:07,A48036,426,"-22.980774","-43.218128",33.71
09-24-2016 22:18:07,B11553,773,"-22.811798","-43.372795",0.93
09-24-2016 22:18:07,C82515,363,"-22.882957","-43.368008",0.37
09-24-2016 22:18:07,D86311,867,"-22.893545","-43.532372",0
09-24-2016 22:18:08,A41324,112,"-22.874769","-43.242592",0
09-24-2016 22:18:08,B11533,908,"-22.867014","-43.355095",0
09-24-2016 22:18:08,C50049,302,"-22.929279","-43.253735",0.19
09-24-2016 22:18:09,B32819,,"-22.81469","-43.38242",0
09-24-2016 22:18:10,C41029,315,"-22.87524","-43.241585",0.37
09-24-2016 22:18:11,A41314,112,"-22.875368","-43.241169",0.19
09-24-2016 22:18:11,A50205,,"-22.928902","-43.25383",0.19
09-24-2016 22:18:11,B10036,322,"-22.815123","-43.187206",0
09-24-2016 22:18:11,C20047,601,"-22.958279","-43.345745",0.19
09-24-2016 22:18:12,B32726,946,"-22.814171","-43.382561",0
09-24-2016 22:18:12,C50126,805,"-22.960884","-43.395454",0
09-24-2016 22:18:13,A48060,426,"-22.910788","-43.270233",6.11
09-24-2016 22:18:13,A72078,507,"-22.935907","-43.20369",22.22
09-24-2016 22:18:13,B28593,329,"-22.83931","-43.239559",31
09-24-2016 22:18:14,A41255,,"-22.875542","-43.241791",0
09-24-2016 22:18:14,A72153,410,"-22.888742","-43.292698",0
09-24-2016 22:18:14,B11625,908,"-22.866266","-43.355751",0.19
09-24-2016 22:18:14,B58143,622,"-22.83729","-43.286758",43
09-24-2016 22:18:15,B44585,,"-22.860661","-43.35553",0
09-24-2016 22:18:16,A48129,202,"-22.910625","-43.269997",0.19
09-24-2016 22:18:16,B32792,945,"-22.81591","-43.39492",0
09-24-2016 22:18:16,D87084,366,"-22.91909","-43.608109",0
09-24-2016 22:18:17,A50097,226,"-22.92872","-43.254147",0
09-24-2016 22:18:18,C82540,651,"-22.859333","-43.371094",1.3
09-24-2016 22:18:19,B11611,,"-22.86656","-43.355179",0.19
09-24-2016 22:18:20,C20072,880,"-22.957342","-43.34536",0
09-24-2016 22:18:22,B28571,696,"-22.81468","-43.18898",0
09-24-2016 22:18:22,C20091,601,"-22.957266","-43.34502",0
09-24-2016 22:18:25,B44577,SVA685,"-22.86075","-43.355469",0
09-24-2016 22:18:26,B75663,,"-22.831261","-43.32415",0
09-24-2016 22:18:27,A72043,105,"-22.889227","-43.292118",0
